Config: 1000 Star Graph
MSE: 2569.0705960000014
Cycle No.: 1
ID 0	 sum 99.0	 weight 1.0	 Average 99.0
ID 299	 sum 36.0	 weight 1.0	 Average 36.0
ID 300	 sum 88.0	 weight 1.0	 Average 88.0
ID 301	 sum 34.0	 weight 1.0	 Average 34.0
ID 302	 sum 55.0	 weight 1.0	 Average 55.0
ID 303	 sum 1.0	 weight 1.0	 Average 1.0
ID 304	 sum 2.0	 weight 1.0	 Average 2.0
ID 305	 sum 81.0	 weight 1.0	 Average 81.0
ID 306	 sum 14.0	 weight 1.0	 Average 14.0
ID 307	 sum 58.0	 weight 1.0	 Average 58.0
ID 308	 sum 31.0	 weight 1.0	 Average 31.0
ID 309	 sum 28.0	 weight 1.0	 Average 28.0
ID 310	 sum 31.0	 weight 1.0	 Average 31.0
ID 311	 sum 52.0	 weight 1.0	 Average 52.0
ID 312	 sum 32.0	 weight 1.0	 Average 32.0
ID 313	 sum 96.0	 weight 1.0	 Average 96.0
ID 314	 sum 35.0	 weight 1.0	 Average 35.0
ID 315	 sum 92.0	 weight 1.0	 Average 92.0
ID 316	 sum 47.0	 weight 1.0	 Average 47.0
ID 317	 sum 76.0	 weight 1.0	 Average 76.0
ID 318	 sum 65.0	 weight 1.0	 Average 65.0
ID 319	 sum 25.0	 weight 1.0	 Average 25.0
ID 320	 sum 70.0	 weight 1.0	 Average 70.0
ID 321	 sum 40.0	 weight 1.0	 Average 40.0
ID 322	 sum 42.0	 weight 1.0	 Average 42.0
ID 323	 sum 95.0	 weight 1.0	 Average 95.0
ID 324	 sum 47.0	 weight 1.0	 Average 47.0
ID 325	 sum 69.0	 weight 1.0	 Average 69.0
ID 326	 sum 71.0	 weight 1.0	 Average 71.0
ID 327	 sum 97.0	 weight 1.0	 Average 97.0
ID 328	 sum 15.0	 weight 1.0	 Average 15.0
ID 329	 sum 54.0	 weight 1.0	 Average 54.0
ID 330	 sum 82.0	 weight 1.0	 Average 82.0
ID 331	 sum 53.0	 weight 1.0	 Average 53.0
ID 332	 sum 19.0	 weight 1.0	 Average 19.0
ID 333	 sum 12.0	 weight 1.0	 Average 12.0
ID 334	 sum 30.0	 weight 1.0	 Average 30.0
ID 335	 sum 7.0	 weight 1.0	 Average 7.0
ID 336	 sum 93.0	 weight 1.0	 Average 93.0
ID 337	 sum 84.0	 weight 1.0	 Average 84.0
ID 338	 sum 18.0	 weight 1.0	 Average 18.0
ID 339	 sum 88.0	 weight 1.0	 Average 88.0
ID 340	 sum 56.0	 weight 1.0	 Average 56.0
ID 341	 sum 3.0	 weight 1.0	 Average 3.0
ID 342	 sum 34.0	 weight 1.0	 Average 34.0
ID 343	 sum 98.0	 weight 1.0	 Average 98.0
ID 344	 sum 5.0	 weight 1.0	 Average 5.0
ID 345	 sum 71.0	 weight 1.0	 Average 71.0
ID 346	 sum 96.0	 weight 1.0	 Average 96.0
ID 347	 sum 38.0	 weight 1.0	 Average 38.0
ID 348	 sum 31.0	 weight 1.0	 Average 31.0
ID 349	 sum 16.0	 weight 1.0	 Average 16.0
ID 350	 sum 56.0	 weight 1.0	 Average 56.0
ID 351	 sum 83.0	 weight 1.0	 Average 83.0
ID 352	 sum 92.0	 weight 1.0	 Average 92.0
ID 353	 sum 32.0	 weight 1.0	 Average 32.0
ID 354	 sum 51.0	 weight 1.0	 Average 51.0
ID 355	 sum 75.0	 weight 1.0	 Average 75.0
ID 356	 sum 16.0	 weight 1.0	 Average 16.0
ID 357	 sum 72.0	 weight 1.0	 Average 72.0
ID 358	 sum 25.0	 weight 1.0	 Average 25.0
ID 359	 sum 52.0	 weight 1.0	 Average 52.0
ID 360	 sum 44.0	 weight 1.0	 Average 44.0
ID 361	 sum 54.0	 weight 1.0	 Average 54.0
ID 362	 sum 65.0	 weight 1.0	 Average 65.0
ID 363	 sum 12.0	 weight 1.0	 Average 12.0
ID 364	 sum 45.0	 weight 1.0	 Average 45.0
ID 365	 sum 68.0	 weight 1.0	 Average 68.0
ID 366	 sum 92.0	 weight 1.0	 Average 92.0
ID 367	 sum 61.0	 weight 1.0	 Average 61.0
ID 368	 sum 89.0	 weight 1.0	 Average 89.0
ID 369	 sum 10.0	 weight 1.0	 Average 10.0
ID 370	 sum 82.0	 weight 1.0	 Average 82.0
ID 371	 sum 78.0	 weight 1.0	 Average 78.0
ID 372	 sum 92.0	 weight 1.0	 Average 92.0
ID 373	 sum 53.0	 weight 1.0	 Average 53.0
ID 374	 sum 11.0	 weight 1.0	 Average 11.0
ID 375	 sum 81.0	 weight 1.0	 Average 81.0
ID 376	 sum 71.0	 weight 1.0	 Average 71.0
ID 377	 sum 8.0	 weight 1.0	 Average 8.0
ID 378	 sum 48.0	 weight 1.0	 Average 48.0
ID 379	 sum 43.0	 weight 1.0	 Average 43.0
ID 380	 sum 53.0	 weight 1.0	 Average 53.0
ID 381	 sum 78.0	 weight 1.0	 Average 78.0
ID 382	 sum 20.0	 weight 1.0	 Average 20.0
ID 383	 sum 84.0	 weight 1.0	 Average 84.0
ID 384	 sum 34.0	 weight 1.0	 Average 34.0
ID 385	 sum 35.0	 weight 1.0	 Average 35.0
ID 386	 sum 42.0	 weight 1.0	 Average 42.0
ID 387	 sum 25.0	 weight 1.0	 Average 25.0
ID 388	 sum 5.0	 weight 1.0	 Average 5.0
ID 389	 sum 15.0	 weight 1.0	 Average 15.0
ID 390	 sum 91.0	 weight 1.0	 Average 91.0
ID 391	 sum 2.0	 weight 1.0	 Average 2.0
ID 392	 sum 91.0	 weight 1.0	 Average 91.0
ID 393	 sum 2.0	 weight 1.0	 Average 2.0
ID 394	 sum 95.0	 weight 1.0	 Average 95.0
ID 395	 sum 60.0	 weight 1.0	 Average 60.0
ID 396	 sum 62.0	 weight 1.0	 Average 62.0
ID 397	 sum 48.0	 weight 1.0	 Average 48.0
ID 398	 sum 11.0	 weight 1.0	 Average 11.0
ID 399	 sum 14.0	 weight 1.0	 Average 14.0
ID 400	 sum 83.0	 weight 1.0	 Average 83.0
ID 401	 sum 52.0	 weight 1.0	 Average 52.0
ID 402	 sum 78.0	 weight 1.0	 Average 78.0
ID 403	 sum 65.0	 weight 1.0	 Average 65.0
ID 404	 sum 56.0	 weight 1.0	 Average 56.0
ID 405	 sum 1.0	 weight 1.0	 Average 1.0
ID 406	 sum 15.0	 weight 1.0	 Average 15.0
ID 407	 sum 19.0	 weight 1.0	 Average 19.0
ID 408	 sum 59.0	 weight 1.0	 Average 59.0
ID 409	 sum 78.0	 weight 1.0	 Average 78.0
ID 410	 sum 78.0	 weight 1.0	 Average 78.0
ID 411	 sum 68.0	 weight 1.0	 Average 68.0
ID 412	 sum 72.0	 weight 1.0	 Average 72.0
ID 413	 sum 67.0	 weight 1.0	 Average 67.0
ID 414	 sum 43.0	 weight 1.0	 Average 43.0
ID 415	 sum 12.0	 weight 1.0	 Average 12.0
ID 416	 sum 37.0	 weight 1.0	 Average 37.0
ID 417	 sum 8.0	 weight 1.0	 Average 8.0
ID 418	 sum 62.0	 weight 1.0	 Average 62.0
ID 419	 sum 39.0	 weight 1.0	 Average 39.0
ID 420	 sum 38.0	 weight 1.0	 Average 38.0
ID 421	 sum 89.0	 weight 1.0	 Average 89.0
ID 422	 sum 79.0	 weight 1.0	 Average 79.0
ID 423	 sum 57.0	 weight 1.0	 Average 57.0
ID 424	 sum 24.0	 weight 1.0	 Average 24.0
ID 425	 sum 37.0	 weight 1.0	 Average 37.0
ID 426	 sum 82.0	 weight 1.0	 Average 82.0
ID 427	 sum 2.0	 weight 1.0	 Average 2.0
ID 428	 sum 21.0	 weight 1.0	 Average 21.0
ID 429	 sum 96.0	 weight 1.0	 Average 96.0
ID 430	 sum 77.0	 weight 1.0	 Average 77.0
ID 431	 sum 50.0	 weight 1.0	 Average 50.0
ID 432	 sum 57.0	 weight 1.0	 Average 57.0
ID 433	 sum 72.0	 weight 1.0	 Average 72.0
ID 434	 sum 54.0	 weight 1.0	 Average 54.0
ID 435	 sum 73.0	 weight 1.0	 Average 73.0
ID 436	 sum 96.0	 weight 1.0	 Average 96.0
ID 437	 sum 68.0	 weight 1.0	 Average 68.0
ID 438	 sum 20.0	 weight 1.0	 Average 20.0
ID 439	 sum 68.0	 weight 1.0	 Average 68.0
ID 440	 sum 36.0	 weight 1.0	 Average 36.0
ID 441	 sum 59.0	 weight 1.0	 Average 59.0
ID 442	 sum 6.0	 weight 1.0	 Average 6.0
ID 443	 sum 49.0	 weight 1.0	 Average 49.0
ID 444	 sum 65.0	 weight 1.0	 Average 65.0
ID 445	 sum 33.0	 weight 1.0	 Average 33.0
ID 446	 sum 18.0	 weight 1.0	 Average 18.0
ID 447	 sum 82.0	 weight 1.0	 Average 82.0
ID 448	 sum 43.0	 weight 1.0	 Average 43.0
ID 449	 sum 20.0	 weight 1.0	 Average 20.0
ID 450	 sum 40.0	 weight 1.0	 Average 40.0
ID 451	 sum 41.0	 weight 1.0	 Average 41.0
ID 452	 sum 89.0	 weight 1.0	 Average 89.0
ID 453	 sum 95.0	 weight 1.0	 Average 95.0
ID 454	 sum 60.0	 weight 1.0	 Average 60.0
ID 455	 sum 16.0	 weight 1.0	 Average 16.0
ID 456	 sum 19.0	 weight 1.0	 Average 19.0
ID 457	 sum 27.0	 weight 1.0	 Average 27.0
ID 458	 sum 20.0	 weight 1.0	 Average 20.0
ID 459	 sum 88.0	 weight 1.0	 Average 88.0
ID 460	 sum 82.0	 weight 1.0	 Average 82.0
ID 461	 sum 63.0	 weight 1.0	 Average 63.0
ID 462	 sum 36.0	 weight 1.0	 Average 36.0
ID 463	 sum 11.0	 weight 1.0	 Average 11.0
ID 464	 sum 86.0	 weight 1.0	 Average 86.0
ID 465	 sum 95.0	 weight 1.0	 Average 95.0
ID 466	 sum 58.0	 weight 1.0	 Average 58.0
ID 467	 sum 43.0	 weight 1.0	 Average 43.0
ID 468	 sum 66.0	 weight 1.0	 Average 66.0
ID 469	 sum 83.0	 weight 1.0	 Average 83.0
ID 470	 sum 62.0	 weight 1.0	 Average 62.0
ID 471	 sum 14.0	 weight 1.0	 Average 14.0
ID 472	 sum 49.0	 weight 1.0	 Average 49.0
ID 473	 sum 36.0	 weight 1.0	 Average 36.0
ID 474	 sum 53.0	 weight 1.0	 Average 53.0
ID 475	 sum 34.0	 weight 1.0	 Average 34.0
ID 476	 sum 77.0	 weight 1.0	 Average 77.0
ID 477	 sum 39.0	 weight 1.0	 Average 39.0
ID 478	 sum 42.0	 weight 1.0	 Average 42.0
